Week Ended,"Central Appalachia 12,500 Btu, 1.2 SO2","Northern Apppalachia 13,000 Btu, <3.0 SO2","Illinois Basin 11,800 Btu, 5.0 SO2","Powder River Basin 8,800 Btu, 0.8 SO2","Uinta Basin 11,700 Btu, 0.8 SO2"
2017-06-30,52.55,45.65,30.95,11.55,40.35
2017-05-31,52.55,45.65,30.95,11.55,40.35
2017-04-30,52.45,45.6,30.95,11.75,41.0
2017-03-31,51.75,45.15,31.65,11.5,40.0
2017-02-28,51.6,46.25,31.65,11.5,40.1
2017-01-31,50.0,45.75,35.0,11.8,41.1
2016-12-31,48.05,45.75,34.5,11.0,40.9
2016-11-30,45.05,42.25,33.25,9.0,39.4
2016-10-31,45.05,42.25,33.25,9.0,39.4
2016-09-30,40.2,41.45,32.0,8.25,39.4
2016-08-31,41.1,42.35,32.0,8.7,39.4
2016-07-31,41.1,43.35,32.0,8.7,39.4
2016-06-30,40.5,42.1,31.7,8.8,37.5
2016-05-31,40.5,42.1,31.7,8.8,37.5
2016-04-30,40.5,43.55,31.7,9.35,37.8
2016-03-31,42.25,48.6,32.2,9.45,38.05
2016-02-29,42.05,48.4,32.2,9.55,38.45
2016-01-31,42.25,48.6,32.2,9.7,39.05
2015-12-31,43.5,48.95,32.6,10.9,40.65
2015-11-30,43.5,48.95,32.6,10.9,40.65
2015-10-31,49.0,52.0,32.75,11.55,40.55
2015-09-30,48.65,51.95,34.35,11.55,39.7
2015-08-31,48.6,51.9,34.35,11.55,39.75
2015-07-31,49.95,52.25,34.35,11.55,39.55
2015-06-30,53.75,56.9,40.45,11.55,39.1
2015-05-31,52.75,58.75,40.45,11.55,39.2
2015-04-30,52.88,60.92,40.77,11.55,39.82
2015-03-31,53.06,61.15,40.32,11.55,38.13
2015-02-28,53.06,61.15,40.32,11.55,38.13
2015-01-31,53.06,63.15,45.32,11.55,38.13
2014-12-31,56.1,65.3,44.55,11.55,37.75
2014-11-30,56.1,65.3,44.55,11.55,37.75
2014-10-31,56.3,65.55,44.7,11.55,37.75
2014-09-30,54.59,63.3,43.4,11.25,37.0
2014-08-31,56.35,62.75,44.0,11.55,36.45
2014-07-31,57.25,63.7,44.0,12.25,36.45
2014-06-30,60.05,64.5,45.45,12.55,36.75
2014-05-31,60.7,65.5,46.0,13.0,36.75
2014-04-30,60.58,68.17,46.02,13.02,36.73
2014-03-31,59.06,67.9,47.06,12.65,36.25
2014-02-28,63.0,68.65,46.65,12.5,36.0
2014-01-31,62.18,68.5,46.4,12.35,36.0
2013-12-31,63.58,68.0,46.15,11.5,35.95
2013-11-30,62.58,68.0,46.15,11.0,35.95
2013-10-31,64.58,68.5,46.15,11.0,35.95
2013-09-30,60.15,68.5,45.65,10.3,35.85
2013-08-31,63.15,68.5,45.65,10.3,35.85
2013-07-31,63.15,68.5,45.65,10.3,35.85
2013-06-30,66.15,68.25,45.4,10.3,35.85
2013-05-31,66.27,66.25,45.4,10.55,35.85
2013-04-30,67.27,66.0,45.15,10.55,35.85
2013-03-31,67.27,64.1,45.15,10.55,35.85
2013-02-28,64.96,62.1,45.15,10.25,35.85
2013-01-31,66.5,62.1,45.15,10.25,35.85
2012-12-31,68.05,62.1,47.9,10.15,35.85
2012-11-30,68.15,63.0,47.9,10.0,35.75
2012-10-31,68.15,64.5,47.9,10.0,35.75
2012-09-30,65.95,64.25,47.9,10.25,35.75
2012-08-31,63.85,64.1,47.75,9.2,35.6
2012-07-31,63.1,65.1,47.75,9.4,35.6
2012-06-30,61.5,65.1,47.75,8.5,35.6
2012-05-31,56.1,64.9,46.5,8.5,35.5
2012-04-30,60.9,64.4,46.5,9.15,35.5
2012-03-31,60.9,64.4,49.5,8.95,35.5
2012-02-29,65.85,66.05,52.0,8.9,35.5
2012-01-31,68.9,70.05,52.0,11.4,40.55
2011-12-31,72.9,71.05,55.25,11.9,40.55
2011-11-30,75.65,74.8,55.0,12.9,40.55
2011-10-31,79.65,76.8,55.0,13.2,40.55
2011-09-30,80.65,77.1,55.0,14.8,40.55
2011-08-31,80.2,76.1,54.5,14.55,40.55
2011-07-31,80.7,78.1,52.5,14.55,39.55
2011-06-30,79.7,78.1,52.5,14.55,39.55
2011-05-31,77.75,78.0,52.35,13.2,39.45
2011-04-30,78.75,78.0,50.35,13.4,39.45
2011-03-31,78.75,76.0,50.35,13.7,39.45
2011-02-28,78.5,74.75,50.25,13.8,38.45
2011-01-31,77.5,74.75,47.15,14.1,38.45
