Week Ended,"Central Appalachia 12,500 Btu, 1.2 SO2","Northern Apppalachia 13,000 Btu, <3.0 SO2","Illinois Basin 11,800 Btu, 5.0 SO2","Powder River Basin 8,800 Btu, 0.8 SO2","Uinta Basin 11,700 Btu, 0.8 SO2"
2010-12-31,76.5,74.6,47.15,13.5,38.45
2010-11-30,72.1,69.85,47.15,13.5,41.45
2010-10-31,72.4,69.85,47.15,13.65,41.45
2010-09-30,72.4,69.85,47.15,14.15,41.45
2010-08-31,70.25,69.6,46.6,14.3,40.45
2010-07-31,70.25,62.6,46.6,14.8,40.45
2010-06-30,70.25,62.9,46.6,13.8,40.25
2010-05-31,64.6,59.7,46.5,11.9,40.2
2010-04-30,64.6,60.8,46.5,11.8,40.2
2010-03-31,61.1,62.8,47.75,12.45,40.2
2010-02-28,57.35,63.55,46.0,12.1,40.2
2010-01-31,58.35,59.55,46.0,10.9,40.2
2009-12-31,57.35,56.55,46.0,10.2,40.2
2009-11-30,54.1,50.55,40.5,8.35,40.15
2009-10-31,54.75,52.5,41.5,8.25,39.65
2009-09-30,57.25,51.5,43.5,9.25,39.65
2009-08-31,52.5,50.0,46.0,8.8,41.5
2009-07-31,53.5,52.0,46.0,9.0,44.5
2009-06-30,52.5,47.0,44.0,9.0,44.5
2009-05-31,47.5,44.0,43.0,9.0,41.0
2009-04-30,66.1,44.5,49.0,9.0,41.0
2009-03-31,65.1,54.5,50.0,11.1,41.0
2009-02-28,68.0,59.0,50.0,13.0,71.5
2009-01-31,68.35,65.0,54.0,13.0,71.5
2008-12-31,69.35,69.0,61.0,13.25,73.5
2008-11-30,97.85,102.0,79.0,12.7,72.0
2008-10-31,111.0,112.0,84.0,13.7,71.0
2008-09-30,126.0,143.0,84.0,14.25,60.9
2008-08-31,133.5,145.5,84.0,11.5,60.75
2008-07-31,137.5,143.5,92.0,11.2,61.75
2008-06-30,135.5,132.5,69.5,13.65,54.75
2008-05-31,127.5,122.5,64.25,13.5,51.5
